OBJECTID,X,Y,Z,Layer,GUID,MUTCD,width,height,content,comments,condition,assembly_id,Longitude,Latitude
921,444366.7470790887,3160862.38892093,142.4360759109259,Sign,9902c6dc-5b5f-482d-ad24-7bd332a640e1,M6-4,0.6121000755685118,0.4024712624659283,,,Good,91f1fa61-9293-4cba-a4ad-d72ec5a29299,-99.56885895094723,28.573461444867647
922,415722.0132180954,3155358.141790773,163.7671017209068,Sign,ea743439-d0ed-4de0-a729-61fc9a11a82f,R7-1,0.3459554910659789,0.4890916064425617,NO PARKING ANY TIME,,Good,5da9490d-9fde-4307-bb6b-3245e7b3425e,-99.86132904798477,28.522238773563906
923,420275.3027896818,3151784.087699925,159.1850894186646,Sign,5ebfa5af-a222-48c4-ac88-9c60a1fe62d4,M2-1,0.6227340698242184,0.3294758236201002,JCT,,Good,e7b22334-483a-4d7c-9ff3-4a595d436936,-99.81455013732682,28.490267443680217
924,438969.6117759576,3136698.003384174,135.0745055535808,Sign,e514fe38-6fa8-4516-b161-61206a3aa221,M3-3,0.6699624300772505,0.3230240941047665,SOUTH,,,d4c76e63-762c-4253-82f7-65cf26f7f6bb,-99.62276297754737,28.355107565746884
925,443720.606320679,3160858.648654227,136.3773011406884,Sign,ab4087ee-bed4-4cc6-94e4-89fda03d71fa,R2-1,0.8303177329892519,0.9729086842003132,SPEED LIMIT 45,,Good,eae73bd2-1c41-4b97-a98b-130b8ae3c795,-99.57546538801195,28.57339982854081
926,410780.0694905627,3161633.991700553,174.4495700178668,Sign,47785774-ac60-439d-856d-af43b311f918,D10-7aT,0.0583971654710377,0.2615495450890085,6 4 6,,Good,a23c493d-5bcb-49e2-90ce-3e7f0142b1a1,-99.9123191706861,28.578551378936048
927,396860.3350544491,3166999.806864699,174.623510107398,Sign,d2c3b675-ad5a-458d-9ec2-56a7baaa4a2a,W13-1P,0.6732008535552945,0.8023331165313711,45 MPH,,Good,c39df5a1-c381-4583-ab3d-5ed52e66ef82,-100.05512073870612,28.62594604755459
928,416900.1544576091,3155170.783426879,154.1827614232898,Sign,a4fc8aba-0016-449d-bf42-3363a0fd0a46,W8-13aT,1.025797838466142,1.017281239592823,BRIDGE MAY ICE IN COLD WEATHER,,Good,5e171d88-4f32-4959-bacf-a3174c1ff538,-99.8492758743172,28.5206235514372
929,413460.3189310691,3157522.055190391,176.9096211744472,Sign,9f7e1c97-6467-4095-90cb-b49dc55eed9e,D2-1,2.946934126096602,0.5157494347990366,Carrizo Springs 1,,Good,eead80e4-c222-475d-bb10-80dea30c8c12,-99.88460463378152,28.5416206981884
930,437217.3847497368,3138231.096763866,141.2398232966661,Sign,2c11480c-c56f-4e67-98e6-4a8923bd319b,OM1-3,0.4996105363204222,0.5038597573788433,,,Good,c23eb049-1ccc-405b-a75b-7c3fc3a18f32,-99.6407251577155,28.368862834289622
