OBJECTID,X,Y,Z,Layer,Text,MUTCD,Width,Height,Condition,Orientation
226,677233.1595362705,1303762.809069656,179.0084355997104,Sign Face,ONE WAY,R6-1,3.165046921552322,1.526341780902832,,122.45569512621641
227,674020.1379500101,1303750.803586584,181.0759533333469,Sign Face,Lincoln St,D3-1,3.62776278510807,1.275286156674382,,-104.48608452597442
228,675990.3732189109,1304040.292451593,196.2579932024601,Sign Face,,D3-1,2.55591267832308,0.4413839322062614,,-88.16876222903765
229,675505.1949898467,1304058.252667084,196.9755893216174,Sign Face,RR,W10-1,3.048972938004441,3.204308547998663,,96.29016739039766
230,678844.9093805589,1303689.628257731,188.1587200815099,Sign Face,"CITY CENTER
MCMINNVILLE
PORTLAND",D1-1,6.053149700164794,3.589292367299397,,-82.51993062060191
231,675319.4000093396,1303693.187640613,190.1242027983081,Sign Face,ONE WAY,R6-1L,3.220367384707834,1.272972370070109,,-169.84853907572653
232,682634.2970809976,1305696.559412478,214.6970358019555,Sign Face,35,R2-1,3.35822854767947,4.597650034221138,,-116.14293923208574
233,677896.9513029003,1303721.498000858,177.1855409601671,Sign Face,"HOOVER PARK
ROGERS
BOAT RAMP
NEXT LEFT",D1-1,5.112733897261732,4.514394391552982,,82.04636851649822
234,677986.8500005607,1303641.453537308,182.8159568415668,Sign Face,Newberry,D1-1,2.77654920506665,5.316543845054045,,-91.07844552523467
235,674754.2759381632,1303781.581184888,193.2775450728512,Sign Face,E FIRST ST,D3-1,2.847506500917469,0.909842609420536,,8.928744187101376
236,675584.5879511635,1303692.76211664,182.5836911513865,Sign Face,STOP,R1-1,0.4768488425125912,0.7311073364078842,,-87.83627640451692
237,672556.6511959607,1303172.72005765,163.7594637038017,Sign Face,SPEED 50,R2-1,3.166567739539259,4.35992488710899,,-140.05039109171798
238,674754.37085504,1303781.283918846,192.468364305021,Sign Face,,D3-1,2.098126517818981,0.7838071409485784,,96.35263262082994
239,678908.2782104012,1304018.481794823,193.6944678298573,Sign Face,,D3-1,3.350255839780872,1.272874984528449,,74.45349665079411
240,681924.3140362757,1305275.849366956,214.4148821191966,Sign Face,,D3-1,1.069488898506315,1.747040102488099,,-87.10415492206016
241,678973.2698384923,1303685.630835465,186.7746720701506,Sign Face,H,D9-2,2.065750714049251,3.886986279425032,,97.68684894795497
242,674528.2552252982,1303792.949583479,202.4319987509323,Sign Face,ONE WAY,R6-1,3.301381595491424,3.491291223861414,,174.63730307019358
243,676121.7650095061,1303666.117207164,193.5053568411503,Sign Face,99W NORTH 219 Portland Salem,D1-2,7.837015812791238,5.944615665070341,,2.5712663134432754
244,678967.6477156351,1303685.21071815,185.2209526321835,Sign Face,STOP,R1-1,1.577272854764943,1.52304142791768,,-39.143830675798256
