OBJECTID,X,Y,Z,Layer,Text,MUTCD,Longitude,Latitude
58,3115143.83634499,1212800.97717361,5425.130229887545,Sign Face,,W1-8R,-105.08949688232327,39.91678655755429
59,3111439.166162546,1214494.873185777,5454.513848317445,Sign Face,,W1-8L,-105.10267728698284,39.92148292747962
60,3115087.092586344,1212886.926035915,5420.516079299033,Sign Face,,R2-1,-105.08969776069068,39.917023223351684
61,3115100.946818216,1213153.665154974,5421.436338756463,Sign Face,,D3-1,-105.08964396834699,39.917755293476155
62,3115384.175408813,1211906.339739935,5455.166713425299,Sign Face,COMMERCE 120TH AVE,D3-1,-105.08865484918424,39.91432756168666
63,3117413.441312133,1211939.907006272,5408.905005080283,Sign Face,MO 367,M1-5,-105.08142004795559,39.91439364097776
64,3115317.217893757,1211861.433734178,5453.64879813848,Sign Face,,D3-1,-105.08889429182128,39.914205139145025
65,3112762.355441771,1214499.227338609,5435.630892132502,Sign Face,NO PARKING,R7-1,-105.09795961137938,39.921478508126086
66,3115317.084129312,1211861.463771104,5455.116218536278,Sign Face,COMMERCE,D3-1,-105.08889476818804,39.914205223304144
67,3115690.137146687,1211380.615834703,5455.984492209335,Sign Face,,,-105.08757282668931,39.91288045482833
68,3115317.229908528,1211861.678835496,5455.986085574409,Sign Face,COMMERCE ST,D3-1,-105.08889424493832,39.91420581183877
69,3115336.402278319,1211963.308975775,5449.959776274741,Sign Face,Recycling Center,M6-1R,-105.08882421646092,39.91448456059102
70,3115384.844231037,1211906.377386216,5454.284655619045,Sign Face,COMMERCE,D3-1,-105.08865246424139,39.91432765651529
71,3115336.554465413,1211963.500010626,5452.911386905294,Sign Face,RIGHT LANE ONLY,R3-17,-105.08882367076183,39.91448508307837
72,3112473.135085123,1214495.946505275,5440.260868426541,Sign Face,NO PARKING ANYTIME,R7-7,-105.09899083001352,39.921473096782975
73,3116222.409902831,1210376.41971369,5427.875611206274,Sign Face,,,-105.08569206532201,39.910116946424615
74,3115140.928370035,1213042.636660712,5420.839361104549,Sign Face,,OM3,-105.08950326121166,39.917449992600375
75,3115140.525875223,1212908.408445583,5419.982473303855,Sign Face,,R2-1,-105.08950691142007,39.91708151749636
76,3116108.827068359,1211963.207250718,5438.327338292182,Sign Face,,,-105.0860705535369,39.91447441607437
77,3116186.097261433,1211866.300517218,5438.679657357515,Sign Face,120TH AVE,D3-1,-105.08579670202886,39.91420739942387
78,3116203.050903604,1210333.642725266,5430.911052238524,Sign Face,,,-105.08576178733786,39.90999976426052
79,3115076.387425821,1213089.063335923,5417.953356909336,Sign Face,Pedestrian Crossing,W11-2,-105.08973259143552,39.917578262011006
80,3115166.709264098,1213204.907350205,5426.403007092059,Sign Face,RAILROAD CROSSING,R15-1,-105.08940867059606,39.91789512669735
81,3115623.33101774,1211491.73884516,5453.87161894101,Sign Face,,,-105.08780914098527,39.91318635996393
82,3115141.192694986,1213078.125889838,5420.784349725624,Sign Face,COMMERCE ST,D3-1,-105.08950173314997,39.91754741345782
83,3115151.486549865,1213249.31874791,5419.806704094788,Sign Face,,,-105.08946220866744,39.918017237326346
