OBJECTID,X,Y,Z,Layer,URL,Text,MUTCD,Width,Height,Condition,Orientation,Longitude,Latitude,matched,match_idx,match_distance,Source,File2_Lat,File2_Lon
1001,1458143.739,324684.7503,1030.872228,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-6f4ef990-da4f-419c-8382-e4fd0465ad7c,EXIT 75,E1-5P,7.480323372,1.427615799,,124.5377393,-79.57744206,40.2101285,True,690,0.9102896818422206,File 1,40.210123,-79.57745
1003,1431057.759,380641.471,1152.838218,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-65f696fa-18a5-4f53-881a-02403a4028b7,"PARK
BEHIND
LINE",R33-1,8.388549286,1.382679697,,-18.20671471,-79.67877475,40.36211711,True,574,1.0570739214357538,File 1,40.362113,-79.678786
1006,1482601.193,308107.8593,1200.819655,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-841b8f61-124b-48a5-ae44-0c549e3bc0b3,,W1-8R,3.144066565,3.300672958,,-64.09189464,-79.48872152,40.16598823,True,136,0.3258031424015877,File 1,40.165987,-79.488725
1007,1503594.056,298136.6006,1780.816222,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-b9fced28-a2a1-4a6c-825c-fbe8d9e91b6b,"MILE
87
.8",D10-1,0.917528854,3.817380444,,121.1005897,-79.41294782,40.13973104,True,298,0.29401550479510663,File 1,40.13973,-79.412951
1011,1500586.934,300275.6539,1729.763087,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-40a52024-e179-49b2-b6e5-2fe597f9fa4e,MILE 87.1,D10-1,28.9214706,5.481378836,,-104.4013512,-79.4238466,40.14544596,True,895,1.8646811191911574,File 1,40.145462,-79.423853
1014,1450745.316,328937.1717,972.4010958,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-51e138d1-949b-42d0-b6be-f0c07e4eb3c8,70,M1-1,2.541969729,3.106320747,,147.9156933,-79.60424567,40.22137589,True,1216,1.8987779056624738,File 1,40.221389,-79.60426
1015,1450745.751,328937.7869,975.0895008,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-7b3e39cf-27ab-4030-a345-22ff00af2f94,TOLL,M4-14,1.350627501,3.025466661,,-12.6596003,-79.60424416,40.2213776,True,1252,1.8481187956420764,File 1,40.221389,-79.60426
1016,1450745.348,328937.3864,976.3427415,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-d95d7a93-c84b-4207-bae7-b85c26607446,TOLL,M4-14,3.286041298,3.020319708,,-32.04386232,-79.60424557,40.22137648,True,1253,1.8544864600285873,File 1,40.221389,-79.60426
1017,1482830.97,307885.1119,1202.639392,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-94342aa3-491a-4f7a-a5b8-21894e84fd2d,"MILE
82.9",D10-1,0.465609806,2.64335863,,137.2306606,-79.48788382,40.1653893,True,106,0.31578784191709375,File 1,40.165387,-79.487886
1020,1465674.078,319750.7134,1047.397594,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-169e92d8-c31d-47e3-861c-2db086ae8f1c,"NEW STANTON SERVICE PLAZA
SUNOCO
CNG
STARBUCKS
BURGER KING
ATM
1 MILE
LAST FOOD & FUEL IN PA",D5-1,18.07748315,14.51832328,,-55.71396874,-79.55012549,40.19701154,True,1154,1.2961080123832538,File 1,40.197013,-79.55014063
1021,1465675.767,319753.1821,1048.113824,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-20954e4b-76a4-463f-8091-8db7c06031f9,"NEW STANTON SERVICE PLAZA
1 MILE
LAST FOOD & FUEL IN PA",I-9,17.96237915,14.61525495,,124.4052589,-79.55011962,40.19701841,True,650,2.5927771354827343,File 1,40.197027,-79.550148
1022,1465671.364,319748.4611,1035.022781,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-d70aa062-ed0d-4ad1-8358-33b49ab9d2ba,,D12-5,1.051500879,2.867596018,,-161.8148564,-79.55013503,40.19700521,True,590,2.308636748930143,File 1,40.197015,-79.550159
1023,1433373.008,347404.0983,1014.80858,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-9808314a-3530-4195-a890-51123a62fddd,70,R2-1,2.57983718,4.798289853,,17.10436313,-79.66787831,40.27103897,True,1268,0.10707981268373401,File 1,40.27103814,-79.66787895
1025,1498697.812,302755.3992,1630.568535,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-93ffa8cb-e85b-43f7-bb5a-ad6d43e91483,MILE 86.5,D10-1,1.157350733,3.824175125,,-32.83096946,-79.43077167,40.15215339,True,806,0.209321454407028,File 1,40.152154,-79.430774
1026,1430677.708,363001.5772,1082.671408,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-371a9149-e72a-4230-9544-9b17a4b7e681,EXIT 20 M.P.H.,W13-2,0.870777826,5.338430053,,116.331953,-79.67875583,40.31368366,True,872,1.9978293610173603,File 1,40.313701,-79.678762
1027,1466648.095,318912.241,1046.485973,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-a85d4ccd-27eb-41ae-8b53-73bcfe1fb5b3,791,D10-1,62.95686556,8.98600487,,77.99700576,-79.54657839,40.19476479,True,353,0.699239787358143,File 1,40.19477,-79.546583
1028,1433220.604,351219.3294,1030.855107,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-67ec7172-20c1-468e-aa5a-f10646dd3a5a,"MILE
69
.5",D10-1,0.859568635,3.19089601,,-179.2673292,-79.66872139,40.28150046,True,599,0.5828570514744642,File 1,40.281496,-79.668725
1029,1495137.781,303495.7614,1519.449216,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-ebef67d2-5898-4924-a74c-8f18ea7f1136,,W1-8R,3.040276664,3.953353855,,63.94020982,-79.44355576,40.15399869,True,890,0.299809000538116,File 1,40.153996,-79.443556
1031,1504690.827,295917.2601,1791.072965,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-5d9f91ba-9d6c-4bae-9844-1cf777c77eff,"MILE
88
.3",D10-1,0.487113879,3.97394714,,100.8152668,-79.40887655,40.13369643,True,847,0.653439443389469,File 1,40.133702,-79.408879
1032,1466206.759,319328.4215,1060.371493,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-daaff642-a316-4ede-b231-965ade0ea343,SR 819,D3-2,6.154484843,1.666701715,,71.25557698,-79.54818823,40.19588234,True,389,0.042555095764654105,File 1,40.195882,-79.548188
