OBJECTID,X,Y,Z,Layer,URL,Text,MUTCD,Width,Height,Condition,Orientation,Longitude,Latitude
1095,1482379.82,308130.2677,1192.511091,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-076f18e7-ff03-4c26-9722-424a4570a6c3,NO TRUCKS BUSES TRAILERS LEFT LANE,R3-10b,16.05691477,5.360123128,,-86.6216948,-79.48951504,40.16603776
1096,1482378.846,308129.7823,1189.474157,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-04bbb1e7-a903-4d9e-8f32-ac450062f93f,"MILE
828",D10-1,12.07133692,3.896566856,,56.30352207,-79.48951849,40.16603638
1097,1482377.844,308129.5869,1189.292033,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-81e032ca-d4a1-4a0f-92d2-3e22719c7abf,MILE 8.8,D10-1,7.804322466,3.473994627,,58.36574874,-79.48952207,40.16603579
1098,1482383.322,308125.7678,1190.728349,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-fcc8f341-2775-491e-9e0b-7dffbe225501,NO TRUCKS BUSES TRAILERS LEFT LANE,R3-10a,18.74195159,4.268138887,,50.50679704,-79.4895022,40.1660256
1099,1482380.197,308135.8586,1193.668363,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-ee55588e-efd8-47f9-8d40-7d071a869802,NO TRUCKS BUSES TRAILERS LEFT LANE,R3-14,2.591428774,5.051849617,,-74.75590129,-79.48951409,40.16605313
1100,1429675.618,378210.9759,1106.007897,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-4763b823-a205-4e9d-8236-aff6d724d9fc,MILE 64,D10-1,1.096549424,0.791703369,,123.6795757,-79.68354245,40.35536395
1101,1479712.541,309718.9952,1161.755331,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-175938f4-98d9-462d-bc6d-fd5889856dc9,"MILE
8.2",D10-1,38.45673351,4.253767704,,130.3423496,-79.49916964,40.1702535
1102,1498411.831,303387.7622,1616.603041,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-c6fb2fae-8730-45bf-a3b4-250d7d024d8e,,W1-8L,2.559223753,4.161973605,,-36.98836592,-79.43183763,40.15387403
1103,1495053.219,303385.2039,1509.02808,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-6a5fbe6a-a2c6-4ca4-b88a-090aef20fdc7,"MILE
85.7",D10-1,0.790657503,3.561898787,,-141.3911014,-79.44385064,40.1536908
1104,1483233.702,307585.2457,1227.742203,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-f8964140-d537-4f76-af0a-8cc4423cc550,"WEST
76
MILE
83",D1-1,0.605879562,5.427380812,,-79.26194118,-79.48642199,40.16458804
